fb7d6be867c9c5a0be899ed855f369afd4362893,Encapsulate Attribute,LegacyCollectionDsValueSource,59,59,
e0de922b76b980eb6d915dce423b2bea0ff09b9f,Rename Variable,EntityInspectorBrowse,464,464,
99485b944acb53a81c49ecfc1547a37c74f523d9,Add Parameter,CubaMainTabSheet,188,189,
533ead5fc417a6c31ada877623f406ccd126a92f,Extract Method,QueryImpl,423,423,
533ead5fc417a6c31ada877623f406ccd126a92f,Extract Method,QueryImpl,423,423,
533ead5fc417a6c31ada877623f406ccd126a92f,Extract Method,QueryImpl,423,423,
533ead5fc417a6c31ada877623f406ccd126a92f,Extract Method,QueryImpl,423,423,
fdea19cf986901485b120a26326e77b8f1de7456,Extract Variable,WebAbstractActionsHolderComponent,200,200,
4c5d88a01a326f51abf4f7e77683acef698849ed,Change Return Type,CubaVaadinServletService,350,350,
39902cdb7c550ab0dca9e852a4cd911df860db09,Extract Method,CubaScrollTableWidget,645,666,
39902cdb7c550ab0dca9e852a4cd911df860db09,Extract Method,CubaScrollTableWidget,645,666,
